N002001| Time: 9.7954| F1: 52| Nodes: 756| NodesWithHelper: 780 | NoOfAreas: 1 / 64
N002002| Time: 3.8957| F1: 1| Nodes: 352| NodesWithHelper: 356 | NoOfAreas: 2 / 64
N002003| Time: 8.9046| F1: 12| Nodes: 793| NodesWithHelper: 821 | NoOfAreas: 3 / 64
N002004| Time: 9.176| F1: 162| Nodes: 704| NodesWithHelper: 756 | NoOfAreas: 4 / 64
N002005| Time: 3.2872| F1: 92| Nodes: 282| NodesWithHelper: 300 | NoOfAreas: 5 / 64
N002006| Time: 6.9066| F1: 142| Nodes: 577| NodesWithHelper: 615 | NoOfAreas: 6 / 64
N002007| Time: 2.6884| F1: 2| Nodes: 201| NodesWithHelper: 208 | NoOfAreas: 7 / 64
N002008| Time: 4.7109| F1: 22| Nodes: 401| NodesWithHelper: 421 | NoOfAreas: 8 / 64
N002009| Time: 3.7433| F1: 2| Nodes: 328| NodesWithHelper: 342 | NoOfAreas: 9 / 64
N002010| Time: 3.5927| F1: 2| Nodes: 317| NodesWithHelper: 330 | NoOfAreas: 10 / 64
N002011| Time: 4.6872| F1: 62| Nodes: 405| NodesWithHelper: 424 | NoOfAreas: 11 / 64
N002012| Time: 3.5803| F1: 1| Nodes: 325| NodesWithHelper: 339 | NoOfAreas: 12 / 64
N002013| Time: 5.4218| F1: 2| Nodes: 488| NodesWithHelper: 506 | NoOfAreas: 13 / 64
N002014| Time: 0.65668| F1: 1| Nodes: 31| NodesWithHelper: 31 | NoOfAreas: 14 / 64
N002015| Time: 2.7318| F1: 2| Nodes: 240| NodesWithHelper: 250 | NoOfAreas: 15 / 64
N002016| Time: 6.5389| F1: 22| Nodes: 556| NodesWithHelper: 581 | NoOfAreas: 16 / 64
N002017| Time: 3.2324| F1: 12| Nodes: 284| NodesWithHelper: 294 | NoOfAreas: 17 / 64
N002018| Time: 1.457| F1: 2| Nodes: 111| NodesWithHelper: 114 | NoOfAreas: 18 / 64
N002019| Time: 6.1925| F1: 42| Nodes: 535| NodesWithHelper: 554 | NoOfAreas: 19 / 64
N002020| Time: 3.5757| F1: 52| Nodes: 298| NodesWithHelper: 312 | NoOfAreas: 20 / 64
N002021| Time: 4.5513| F1: 42| Nodes: 390| NodesWithHelper: 405 | NoOfAreas: 21 / 64
N002022| Time: 2.5121| F1: 22| Nodes: 190| NodesWithHelper: 210 | NoOfAreas: 22 / 64
N002023| Time: 4.835| F1: 12| Nodes: 428| NodesWithHelper: 445 | NoOfAreas: 23 / 64
N002024| Time: 2.3811| F1: 2| Nodes: 175| NodesWithHelper: 183 | NoOfAreas: 24 / 64
N002025| Time: 2.5851| F1: 1| Nodes: 222| NodesWithHelper: 226 | NoOfAreas: 25 / 64
N002026| Time: 4.529| F1: 52| Nodes: 390| NodesWithHelper: 412 | NoOfAreas: 26 / 64
N002027| Time: 3.4195| F1: 2| Nodes: 310| NodesWithHelper: 321 | NoOfAreas: 27 / 64
N002028| Time: 3.2284| F1: 2| Nodes: 281| NodesWithHelper: 295 | NoOfAreas: 28 / 64
N002029| Time: 9.4524| F1: 52| Nodes: 744| NodesWithHelper: 792 | NoOfAreas: 29 / 64
N002030| Time: 6.5659| F1: 42| Nodes: 552| NodesWithHelper: 585 | NoOfAreas: 30 / 64
N002031| Time: 8.7123| F1: 22| Nodes: 724| NodesWithHelper: 767 | NoOfAreas: 31 / 64
N002032| Time: 4.3976| F1: 12| Nodes: 400| NodesWithHelper: 410 | NoOfAreas: 32 / 64
N002033| Time: 2.9149| F1: 12| Nodes: 242| NodesWithHelper: 250 | NoOfAreas: 33 / 64
N002034| Time: 7.9197| F1: 52| Nodes: 679| NodesWithHelper: 700 | NoOfAreas: 34 / 64
N002035| Time: 6.4333| F1: 92| Nodes: 517| NodesWithHelper: 555 | NoOfAreas: 35 / 64
N002036| Time: 3.8987| F1: 92| Nodes: 296| NodesWithHelper: 321 | NoOfAreas: 36 / 64
N002037| Time: 6.5806| F1: 12| Nodes: 593| NodesWithHelper: 606 | NoOfAreas: 37 / 64
N002038| Time: 3.311| F1: 22| Nodes: 274| NodesWithHelper: 297 | NoOfAreas: 38 / 64
N002039| Time: 3.7093| F1: 32| Nodes: 314| NodesWithHelper: 326 | NoOfAreas: 39 / 64
N002040| Time: 3.084| F1: 2| Nodes: 267| NodesWithHelper: 277 | NoOfAreas: 40 / 64
N002041| Time: 6.8823| F1: 32| Nodes: 563| NodesWithHelper: 601 | NoOfAreas: 41 / 64
N002042| Time: 9.3004| F1: 152| Nodes: 705| NodesWithHelper: 744 | NoOfAreas: 42 / 64
N002043| Time: 2.2931| F1: 1| Nodes: 198| NodesWithHelper: 200 | NoOfAreas: 43 / 64
N002044| Time: 5.9769| F1: 2| Nodes: 531| NodesWithHelper: 551 | NoOfAreas: 44 / 64
N002045| Time: 5.4417| F1: 42| Nodes: 476| NodesWithHelper: 493 | NoOfAreas: 45 / 64
N002046| Time: 9.3843| F1: 92| Nodes: 746| NodesWithHelper: 788 | NoOfAreas: 46 / 64
N002047| Time: 7.0823| F1: 32| Nodes: 602| NodesWithHelper: 638 | NoOfAreas: 47 / 64
N002048| Time: 5.4069| F1: 12| Nodes: 463| NodesWithHelper: 477 | NoOfAreas: 48 / 64
N002049| Time: 4.9323| F1: 22| Nodes: 413| NodesWithHelper: 431 | NoOfAreas: 49 / 64
